reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,language
d3b962c4-6145-4f8a-aa68-57cecfe86b13,Alex Nelson,https://play-lh.googleusercontent.com/a-/ALV-UjWW3XprhXX0VW6a5j2COHc8lpJm1_OHH7QkvzexaM1wPLYbSJET,"I have been using this app(free version) for a few years. It was pretty good until the past few months, especially these last few weeks. I have noticed that this app has been robbing me of my time and my 2X/3X points. it would show it's been activated, but when I do my lesson it doesn't reflect 2X or 3X in my score.And my time runs out before it's supposed to. Very frustrating when I'm trying to compete in the leagues and climb the leader board. Correct hints are MISSING! Negative Five Stars 👎",1,471,6.26.2,2025-04-24 16:46:19,,,6.26.2,en
67466d15-b34c-45d8-aa34-e3c896b52877,Jared Lindell,https://play-lh.googleusercontent.com/a/ACg8ocJuPJ_LqC4-KUJTGgU5K96VZlJnrp5wq1KKi9wWjK5Zz3n4iQ=mo,"Payed version ≈ $100 per year. if you want to use the interactive video chat I.E. actually practicing speaking the language then that's an extra charge. The app fails at teaching grammar. You're just supposed to pick it up from the lessons but, Italian, for example, has 7 different versions of the definite article""the."" Some explanation would be appropriate. typing out foreign phrases with your thumbs on your phone keyboard is torture. need to be able to convert typing exercises to speaking.",2,397,6.25.4,2025-04-11 03:24:37,,,6.25.4,en
91a3e121-d00f-47b3-a40b-99299d24179e,Master Kayla Rommann,https://play-lh.googleusercontent.com/a-/ALV-UjViQwsHRPIV1fWjGMopZPvnCJXcE7-ZRvZPfR5OVwFz1aDQZ90,"Editing after the latest update. The Heart situation went from annoying to stupid. at least before I gained something from practicing, now the only options for earning hearts are ads or money. I'm giving them a chance to fix this, but for now, my 5 star rating has dropped. Do better. I love this app, yes, the hearts are a pain, but if you go practice old levels you get free ones. Think of it like a pop quiz. That being said, there's a glitch and my achievements are stuck... help?",3,128,6.27.4,2025-04-24 19:17:11,,,6.27.4,en
d102fab9-35e4-4d0f-9167-3c1131c1b2ef,Aileen Curfman,https://play-lh.googleusercontent.com/a-/ALV-UjUQZ2Q-osO_-6Fe925W4fTGAOyjY-xPMRMKmCp61CpjwOMV9GqzjQ,"This app presents basic conversation via repetitive drills. They try to make it interesting with cartoon characters and competition. There doesn't seem to be any grammar instruction, so it's hard to generalize your knowledge to new vocabulary and new situations. But it's free, so if you don't have the money for a paid course, it's worth learning what you can from this app. Be prepared to spend almost half your time waiting for ads to end.",3,121,6.26.2,2025-04-20 07:40:22,,,6.26.2,en
ce37cbc5-1b4b-4716-a047-ac4e0851a445,Rachael Hensen,https://play-lh.googleusercontent.com/a/ACg8ocLY40kslmCJxj7oIOhYhuO7zpji6i1tFkdi9C9AeKQCXPHz6g=mo,"Great app. Wish they had their ad situation figured out better. There are weeks where the ads double up and I end up having to spend more time watching ads than doing lessons. Also occasionally the boosters just don't work even though you did everything right to earn and activate it. Also, the app recently changed the mandarin course and now its quizzing me on things it never taught me. Absolute BS.",2,101,6.27.4,2025-04-25 12:59:28,,,6.27.4,en
9bd61546-7333-4675-b937-c1e41d25d355,DyslexicCow OOM,https://play-lh.googleusercontent.com/a-/ALV-UjXbJkL1YRt248Ef18SlSXEFfMVzfPy8GTBWAEkvkUCd-pPX6wo,"I wish I could give zero stars. Duo was actually a great app when it started. Now, the best features are gone. Be very careful. Their free trial is extremely predatory. The page will force you to accept a ""gift"" of ""free days,"" but that will activate the free trial. Once the surprise free trial is over, it will auto-sign you up for the entire year, the most expensive option, without your approval. I was charged over $100 and they will not refund. Same thing happened to 3 family members.",1,710,6.25.4,2025-04-17 11:09:01,,,6.25.4,en
ff58a78e-8783-4b41-8fb3-61e6985ee0bb,Valerie Lewis,https://play-lh.googleusercontent.com/a-/ALV-UjVWJPEuUOiV-ONTGOPTYe4CTB1tjER3B_cTJ3osWbflFBvWZCE5,"What just happened to this app? First, it messed up my progress with it's ""new learning format"", giving words that hadn't been gone over and adding ""new"" words that I had been going over for months now. Then I would do a lesson and it wouldn't progress (stuck on 4 of 6 on the current lesson; did it 3 times already). Now I closed the app and reopened it and it is stuck on the splash page. I tried clearing the cache. Uninstalling and reinstalling the app works until I get out of it the first tim",1,277,6.27.4,2025-04-25 06:38:17,,,6.27.4,en
4c18a8be-6db5-4e9a-a5b6-0bec18168f5b,Eric P,https://play-lh.googleusercontent.com/a-/ALV-UjUkZ5IwI5iVjU5bSYd19jPhx9NGv6S40n29Hnl4t_Lk_ERf6J9O,"A very decent learning supplement that my family and I have used for years. That said, customer service/any kind of support is virtually non-existent. As a free to play user, that's little less upsetting. As subscription paying customer, I would like to think all the resources that get wasted due to bugs and ""quick maintenance breaks"" could be replaced, or last merit a response. Updates make FTP harder. If you play long enough, the little things add up, and there are a lot of little things.",1,573,6.25.4,2025-04-09 22:12:32,,,6.25.4,en
dcee2222-0f5f-4893-9387-9c708e95070d,Jon Fandal,https://play-lh.googleusercontent.com/a-/ALV-UjWlD5ltcGlMfhz_ikC8u4nczDvsjrFAcGhzcqnnRdKmPT3b_BTRcw,"I have been using this app for years, and the changes have totally sucked all the fun out of learning a new language. Between the inability to replenish hearts without watching ads or shelling out for pro edition, the shrinking of league sizes to cause more stress to not be demoted, and overall dark patterns such as forced actions, confirmshaming, disguised ads, intermediate currency, and gamification without fun. ... Duolingo isn't fun anymore. It's a chore.",2,296,6.26.2,2025-04-16 00:14:18,,,6.26.2,en
50701d9e-7175-4ed7-87fb-e6827005ebf7,Cody Smith,https://play-lh.googleusercontent.com/a-/ALV-UjUp4Ck4NVmOGUnyZkhyUdMsiYTGghK2N5RV1xP1zheiHXCMUuN2,"I was enjoying this app for about 100 days, but a recent update has changed content I've already been through, meaning it thinks I've learned content that I actually haven't. this has made keeping up with my learning very difficult as I constantly feel like I'm struggling and guessing at new words. there is no way to reset your progress to account for this either, that I know of. I will update my review to be more positive if this issue is rectified.",1,107,6.27.4,2025-04-26 22:15:23,,,6.27.4,en
