content,casefolding,text_clean,stopword,stemmed
"I have been using this app(free version) for a few years. It was pretty good until the past few months, especially these last few weeks. I have noticed that this app has been robbing me of my time and my 2X/3X points. it would show it's been activated, but when I do my lesson it doesn't reflect 2X or 3X in my score.And my time runs out before it's supposed to. Very frustrating when I'm trying to compete in the leagues and climb the leader board. Correct hints are MISSING! Negative Five Stars 👎","i have been using this app(free version) for a few years. it was pretty good until the past few months, especially these last few weeks. i have noticed that this app has been robbing me of my time and my 2x/3x points. it would show it's been activated, but when i do my lesson it doesn't reflect 2x or 3x in my score.and my time runs out before it's supposed to. very frustrating when i'm trying to compete in the leagues and climb the leader board. correct hints are missing! negative five stars 👎", have been using this appfree version for  few years it was pretty good until the past few months especially these last few weeks  have noticed that this app has been robbing me of my time and my xx points it would show its been activated but when  do my lesson it doesnt reflect  or  in my scoreand my time runs out before its supposed to very frustrating when im trying to compete in the leagues and climb the leader board correct hints are missing negative five stars,using appfree version years pretty good past months especially last weeks noticed app robbing time xx points would show activated lesson doesnt reflect scoreand time runs supposed frustrating im trying compete leagues climb leader board correct hints missing negative five stars,use appfre version year pretti good past month especi last week notic app rob time xx point would show activ lesson doesnt reflect scoreand time run suppos frustrat im tri compet leagu climb leader board correct hint miss neg five star
"Payed version ≈ $100 per year. if you want to use the interactive video chat I.E. actually practicing speaking the language then that's an extra charge. The app fails at teaching grammar. You're just supposed to pick it up from the lessons but, Italian, for example, has 7 different versions of the definite article""the."" Some explanation would be appropriate. typing out foreign phrases with your thumbs on your phone keyboard is torture. need to be able to convert typing exercises to speaking.","payed version ≈ $100 per year. if you want to use the interactive video chat i.e. actually practicing speaking the language then that's an extra charge. the app fails at teaching grammar. you're just supposed to pick it up from the lessons but, italian, for example, has 7 different versions of the definite article""the."" some explanation would be appropriate. typing out foreign phrases with your thumbs on your phone keyboard is torture. need to be able to convert typing exercises to speaking.",payed version per year if you want to use the interactive video chat ie actually practicing speaking the language then thats an extra charge the app fails at teaching grammar youre just supposed to pick it up from the lessons but italian for example has different versions of the definite articlethe some explanation would be appropriate typing out foreign phrases with your thumbs on your phone keyboard is torture need to be able to convert typing exercises to speaking,payed version per year want use interactive video chat ie actually practicing speaking language thats extra charge app fails teaching grammar youre supposed pick lessons italian example different versions definite articlethe explanation would appropriate typing foreign phrases thumbs phone keyboard torture need able convert typing exercises speaking,pay version per year want use interact video chat ie actual practic speak languag that extra charg app fail teach grammar your suppos pick lesson italian exampl differ version definit articleth explan would appropri type foreign phrase thumb phone keyboard tortur need abl convert type exercis speak
"Editing after the latest update. The Heart situation went from annoying to stupid. at least before I gained something from practicing, now the only options for earning hearts are ads or money. I'm giving them a chance to fix this, but for now, my 5 star rating has dropped. Do better. I love this app, yes, the hearts are a pain, but if you go practice old levels you get free ones. Think of it like a pop quiz. That being said, there's a glitch and my achievements are stuck... help?","editing after the latest update. the heart situation went from annoying to stupid. at least before i gained something from practicing, now the only options for earning hearts are ads or money. i'm giving them a chance to fix this, but for now, my 5 star rating has dropped. do better. i love this app, yes, the hearts are a pain, but if you go practice old levels you get free ones. think of it like a pop quiz. that being said, there's a glitch and my achievements are stuck... help?",editing after the latest update the heart situation went from annoying to stupid at least before  gained something from practicing now the only options for earning hearts are ads or money im giving them  chance to fix this but for now my star rating has dropped do better  love this app yes the hearts are  pain but if you go practice old levels you get free ones think of it like  pop quiz that being said theres  glitch and my achievements are stuck help,editing latest update heart situation went annoying stupid least gained something practicing options earning hearts ads money im giving chance fix star rating dropped better love app yes hearts pain go practice old levels get free ones think like pop quiz said theres glitch achievements stuck help,edit latest updat heart situat went annoy stupid least gain someth practic option earn heart ad money im give chanc fix star rate drop better love app ye heart pain go practic old level get free one think like pop quiz said there glitch achiev stuck help
"This app presents basic conversation via repetitive drills. They try to make it interesting with cartoon characters and competition. There doesn't seem to be any grammar instruction, so it's hard to generalize your knowledge to new vocabulary and new situations. But it's free, so if you don't have the money for a paid course, it's worth learning what you can from this app. Be prepared to spend almost half your time waiting for ads to end.","this app presents basic conversation via repetitive drills. they try to make it interesting with cartoon characters and competition. there doesn't seem to be any grammar instruction, so it's hard to generalize your knowledge to new vocabulary and new situations. but it's free, so if you don't have the money for a paid course, it's worth learning what you can from this app. be prepared to spend almost half your time waiting for ads to end.",this app presents basic conversation via repetitive drills they try to make it interesting with cartoon characters and competition there doesnt seem to be any grammar instruction so its hard to generalize your knowledge to new vocabulary and new situations but its free so if you dont have the money for  paid course its worth learning what you can from this app be prepared to spend almost half your time waiting for ads to end,app presents basic conversation via repetitive drills try make interesting cartoon characters competition doesnt seem grammar instruction hard generalize knowledge new vocabulary new situations free dont money paid course worth learning app prepared spend almost half time waiting ads end,app present basic convers via repetit drill tri make interest cartoon charact competit doesnt seem grammar instruct hard gener knowledg new vocabulari new situat free dont money paid cours worth learn app prepar spend almost half time wait ad end
"Great app. Wish they had their ad situation figured out better. There are weeks where the ads double up and I end up having to spend more time watching ads than doing lessons. Also occasionally the boosters just don't work even though you did everything right to earn and activate it. Also, the app recently changed the mandarin course and now its quizzing me on things it never taught me. Absolute BS.","great app. wish they had their ad situation figured out better. there are weeks where the ads double up and i end up having to spend more time watching ads than doing lessons. also occasionally the boosters just don't work even though you did everything right to earn and activate it. also, the app recently changed the mandarin course and now its quizzing me on things it never taught me. absolute bs.",great app wish they had their ad situation figured out better there are weeks where the ads double up and  end up having to spend more time watching ads than doing lessons also occasionally the boosters just dont work even though you did everything right to earn and activate it also the app recently changed the mandarin course and now its quizzing me on things it never taught me absolute bs,great app wish ad situation figured better weeks ads double end spend time watching ads lessons also occasionally boosters dont work even though everything right earn activate also app recently changed mandarin course quizzing things never taught absolute bs,great app wish ad situat figur better week ad doubl end spend time watch ad lesson also occasion booster dont work even though everyth right earn activ also app recent chang mandarin cours quizz thing never taught absolut bs
"I wish I could give zero stars. Duo was actually a great app when it started. Now, the best features are gone. Be very careful. Their free trial is extremely predatory. The page will force you to accept a ""gift"" of ""free days,"" but that will activate the free trial. Once the surprise free trial is over, it will auto-sign you up for the entire year, the most expensive option, without your approval. I was charged over $100 and they will not refund. Same thing happened to 3 family members.","i wish i could give zero stars. duo was actually a great app when it started. now, the best features are gone. be very careful. their free trial is extremely predatory. the page will force you to accept a ""gift"" of ""free days,"" but that will activate the free trial. once the surprise free trial is over, it will auto-sign you up for the entire year, the most expensive option, without your approval. i was charged over $100 and they will not refund. same thing happened to 3 family members.", wish  could give zero stars duo was actually  great app when it started now the best features are gone be very careful their free trial is extremely predatory the page will force you to accept  gift of free days but that will activate the free trial once the surprise free trial is over it will autosign you up for the entire year the most expensive option without your approval  was charged over and they will not refund same thing happened to family members,wish could give zero stars duo actually great app started best features gone careful free trial extremely predatory page force accept gift free days activate free trial surprise free trial autosign entire year expensive option without approval charged refund thing happened family members,wish could give zero star duo actual great app start best featur gone care free trial extrem predatori page forc accept gift free day activ free trial surpris free trial autosign entir year expens option without approv charg refund thing happen famili member
"What just happened to this app? First, it messed up my progress with it's ""new learning format"", giving words that hadn't been gone over and adding ""new"" words that I had been going over for months now. Then I would do a lesson and it wouldn't progress (stuck on 4 of 6 on the current lesson; did it 3 times already). Now I closed the app and reopened it and it is stuck on the splash page. I tried clearing the cache. Uninstalling and reinstalling the app works until I get out of it the first tim","what just happened to this app? first, it messed up my progress with it's ""new learning format"", giving words that hadn't been gone over and adding ""new"" words that i had been going over for months now. then i would do a lesson and it wouldn't progress (stuck on 4 of 6 on the current lesson; did it 3 times already). now i closed the app and reopened it and it is stuck on the splash page. i tried clearing the cache. uninstalling and reinstalling the app works until i get out of it the first tim",what just happened to this app first it messed up my progress with its new learning format giving words that hadnt been gone over and adding new words that  had been going over for months now then  would do  lesson and it wouldnt progress stuck on of on the current lesson did it times already now  closed the app and reopened it and it is stuck on the splash page  tried clearing the cache uninstalling and reinstalling the app works until  get out of it the first tim,happened app first messed progress new learning format giving words hadnt gone adding new words going months would lesson wouldnt progress stuck current lesson times already closed app reopened stuck splash page tried clearing cache uninstalling reinstalling app works get first tim,happen app first mess progress new learn format give word hadnt gone ad new word go month would lesson wouldnt progress stuck current lesson time alreadi close app reopen stuck splash page tri clear cach uninstal reinstal app work get first tim
"A very decent learning supplement that my family and I have used for years. That said, customer service/any kind of support is virtually non-existent. As a free to play user, that's little less upsetting. As subscription paying customer, I would like to think all the resources that get wasted due to bugs and ""quick maintenance breaks"" could be replaced, or last merit a response. Updates make FTP harder. If you play long enough, the little things add up, and there are a lot of little things.","a very decent learning supplement that my family and i have used for years. that said, customer service/any kind of support is virtually non-existent. as a free to play user, that's little less upsetting. as subscription paying customer, i would like to think all the resources that get wasted due to bugs and ""quick maintenance breaks"" could be replaced, or last merit a response. updates make ftp harder. if you play long enough, the little things add up, and there are a lot of little things.", very decent learning supplement that my family and  have used for years that said customer serviceany kind of support is virtually nonexistent as  free to play user thats little less upsetting as subscription paying customer  would like to think all the resources that get wasted due to bugs and quick maintenance breaks could be replaced or last merit  response updates make ftp harder if you play long enough the little things add up and there are  lot of little things,decent learning supplement family used years said customer serviceany kind support virtually nonexistent free play user thats little less upsetting subscription paying customer would like think resources get wasted due bugs quick maintenance breaks could replaced last merit response updates make ftp harder play long enough little things add lot little things,decent learn supplement famili use year said custom serviceani kind support virtual nonexist free play user that littl less upset subscript pay custom would like think resourc get wast due bug quick mainten break could replac last merit respons updat make ftp harder play long enough littl thing add lot littl thing
"I have been using this app for years, and the changes have totally sucked all the fun out of learning a new language. Between the inability to replenish hearts without watching ads or shelling out for pro edition, the shrinking of league sizes to cause more stress to not be demoted, and overall dark patterns such as forced actions, confirmshaming, disguised ads, intermediate currency, and gamification without fun. ... Duolingo isn't fun anymore. It's a chore.","i have been using this app for years, and the changes have totally sucked all the fun out of learning a new language. between the inability to replenish hearts without watching ads or shelling out for pro edition, the shrinking of league sizes to cause more stress to not be demoted, and overall dark patterns such as forced actions, confirmshaming, disguised ads, intermediate currency, and gamification without fun. ... duolingo isn't fun anymore. it's a chore.", have been using this app for years and the changes have totally sucked all the fun out of learning  new language between the inability to replenish hearts without watching ads or shelling out for pro edition the shrinking of league sizes to cause more stress to not be demoted and overall dark patterns such as forced actions confirmshaming disguised ads intermediate currency and gamification without fun duolingo isnt fun anymore its  chore,using app years changes totally sucked fun learning new language inability replenish hearts without watching ads shelling pro edition shrinking league sizes cause stress demoted overall dark patterns forced actions confirmshaming disguised ads intermediate currency gamification without fun duolingo isnt fun anymore chore,use app year chang total suck fun learn new languag inabl replenish heart without watch ad shell pro edit shrink leagu size caus stress demot overal dark pattern forc action confirmsham disguis ad intermedi currenc gamif without fun duolingo isnt fun anymor chore
"I was enjoying this app for about 100 days, but a recent update has changed content I've already been through, meaning it thinks I've learned content that I actually haven't. this has made keeping up with my learning very difficult as I constantly feel like I'm struggling and guessing at new words. there is no way to reset your progress to account for this either, that I know of. I will update my review to be more positive if this issue is rectified.","i was enjoying this app for about 100 days, but a recent update has changed content i've already been through, meaning it thinks i've learned content that i actually haven't. this has made keeping up with my learning very difficult as i constantly feel like i'm struggling and guessing at new words. there is no way to reset your progress to account for this either, that i know of. i will update my review to be more positive if this issue is rectified.", was enjoying this app for about days but  recent update has changed content ive already been through meaning it thinks ive learned content that  actually havent this has made keeping up with my learning very difficult as  constantly feel like im struggling and guessing at new words there is no way to reset your progress to account for this either that  know of  will update my review to be more positive if this issue is rectified,enjoying app days recent update changed content ive already meaning thinks ive learned content actually havent made keeping learning difficult constantly feel like im struggling guessing new words way reset progress account either know update review positive issue rectified,enjoy app day recent updat chang content ive alreadi mean think ive learn content actual havent made keep learn difficult constantli feel like im struggl guess new word way reset progress account either know updat review posit issu rectifi
